"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Inflammatory_Macrophage","Inflammatory_Macrophage","CD99","PILRA",0.0628483875629781,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Inflammatory_Macrophage","cDC2","CD99","PILRA",0.0164430356645754,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Inflammatory_Macrophage","Stromal_2","CD99","CD99L2",0.0125319231561423,0,"CD99_CD99L2","CD99 - CD99L2","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","NK","CLEC2B","KLRB1",0.097419755720901,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Inflammatory_Macrophage","CD4_T","CLEC2B","KLRB1",0.0298798142320896,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Inflammatory_Macrophage","Treg","CLEC2B","KLRB1",0.0263338340120581,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Inflammatory_Macrophage","Cycling","CLEC2B","KLRB1",0.0543629147225719,0.01,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Inflammatory_Macrophage","NK","ICAM2","ITGAL_ITGB2",0.12023924765833,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","ICAM2","ITGAL_ITGB2",0.092727503980133,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","ICAM2","ITGAL_ITGB2",0.121387640366322,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Inflammatory_Macrophage","ICAM2","ITGAL_ITGB2",0.106089219339446,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","ICAM2","ITGAL_ITGB2",0.111599139956728,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Treg","ICAM2","ITGAL_ITGB2",0.105626614747481,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","LAMP3_DC","ICAM2","ITGAL_ITGB2",0.0829932298246703,0.04,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Cycling","ICAM2","ITGAL_ITGB2",0.107334359613177,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","NK","ICAM2","ITGAM_ITGB2",0.0956440462677495,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","ICAM2","ITGAM_ITGB2",0.0564719366348584,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Inflammatory_Macrophage","ICAM2","ITGAM_ITGB2",0.052239228742556,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","ICAM2","ITGAM_ITGB2",0.0507817949773679,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Cycling","ICAM2","ITGAM_ITGB2",0.0775603780600764,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-A","CD8A",0.361242604003229,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-A","CD8A",0.3803134118128,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-B","CD8A",0.374871216204212,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-B","CD8A",0.394217469458763,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-C","CD8A",0.353600222920594,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-C","CD8A",0.372502856327224,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-E","CD8A",0.343018517365026,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-E","CD8A",0.361671981707031,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-F","CD8A",0.279926793638272,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-F","CD8A",0.296698756170142,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-A","CD8B",0.142962379797616,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-A","CD8B",0.148255331596486,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-B","CD8B",0.150293559289519,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-B","CD8B",0.155808591382043,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-C","CD8B",0.138933475026889,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-C","CD8B",0.144102343509788,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-E","CD8B",0.133449559459387,0,"HLA-E_CD8B","HLA-E - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-E","CD8B",0.138447208844702,0,"HLA-E_CD8B","HLA-E - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-F","CD8B",0.102868580241279,0,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_TRM","HLA-F","CD8B",0.106862211444514,0,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","NK","HLA-F","KIR3DL1",0.075735319754702,0,"HLA-F_KIR3DL1","HLA-F - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","Cycling","HLA-F","KIR3DL1",0.0292618981597202,0,"HLA-F_KIR3DL1","HLA-F - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","NK","HLA-E","KLRC1",0.139841561117303,0,"HLA-E_KLRC1","HLA-E - KLRC1","MHC-I","Cell-Cell Contact","PMID: 24223577"
"Inflammatory_Macrophage","Cycling","HLA-E","KLRC1",0.098957068390367,0.02,"HLA-E_KLRC1","HLA-E - KLRC1","MHC-I","Cell-Cell Contact","PMID: 24223577"
"Inflammatory_Macrophage","NK","HLA-A","KIR3DL1",0.106509259731316,0,"HLA-A_KIR3DL1","HLA-A - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","Cycling","HLA-A","KIR3DL1",0.0420103629452594,0,"HLA-A_KIR3DL1","HLA-A - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","B_Cell","HLA-F","LILRB1",0.0853661644328551,0,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","Inflammatory_Macrophage","HLA-F","LILRB1",0.19229830941799,0,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","Stromal_2","HLA-F","LILRB1",0.0493800029389542,0.01,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","NK","HLA-E","CD94:NKG2A",0.252335022736503,0,"HLA-E_CD94:NKG2A","HLA-E - CD94:NKG2A","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","Cycling","HLA-E","CD94:NKG2A",0.180174028376285,0,"HLA-E_CD94:NKG2A","HLA-E - CD94:NKG2A","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Inflammatory_Macrophage","CD4_T","HLA-DPA1","CD4",0.345479327747993,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Inflammatory_Macrophage","HLA-DPA1","CD4",0.418066661127959,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Treg","HLA-DPA1","CD4",0.427372047609486,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","HLA-DPA1","CD4",0.417492021644221,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","LAMP3_DC","HLA-DPA1","CD4",0.399485517136301,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
